name,dynasty,intro
后母戊鼎,商,迄今中国发现最大、最重的青铜礼器，重达832.84公斤，纹饰精美，体现商代青铜铸造高超技艺
四羊方尊,商,青铜礼器，器身四角各铸一羊，造型独特，纹饰繁复，是商代青铜文化的杰出代表
妇好鸮尊,商,青铜酒器，整体呈鸮鸟形，造型生动逼真，纹饰细腻，为妇好墓出土的珍贵文物
商司母辛鼎,商,青铜礼器，与后母戊鼎形制相似，纹饰精美，是商代晚期青铜铸造的重要作品
商青铜爵,商,青铜酒器，三足、两柱、一鋬，是商代常见的饮酒器具，纹饰多为饕餮纹
商青铜斝,商,青铜酒器，用于温酒，形制较大，三足、两柱，纹饰丰富，体现商代工艺水平
商青铜觥,商,青铜酒器，造型多为兽形，有盖，纹饰精美，是商代贵族使用的高档酒器
商青铜鼎（小）,商,小型青铜礼器，纹饰简单，多用于日常祭祀或陈设，是商代青铜文化的普及型器物
商玉璋,商,玉器，呈长条状，有刃，多用于祭祀或礼仪活动，玉质温润，工艺精湛
商玉璧,商,圆形玉器，中间有孔，用于祭祀、礼仪或佩戴，玉质优良，纹饰简洁
商玉琮,商,方形玉器，中间有孔，外壁有纹饰，是商代重要的礼玉
商骨笛,商,用兽骨制成的吹奏乐器，管身有孔，能发出不同音调，体现商代音乐文化
商骨簪,商,用兽骨制成的饰品，用于固定发髻，造型简单或有纹饰，是商代常见的生活用品
商陶鬲,商,陶制炊具，三足，腹部有纹饰，用于煮饭，是商代平民常用的器具
商陶鼎,商,陶制礼器或炊具，形制与青铜鼎相似，纹饰简单，用于祭祀或日常烹饪
商陶爵,商,陶制酒器，造型模仿青铜爵，纹饰简单，是商代平民使用的饮酒器具
商青铜戈,商,青铜兵器，用于格斗，有刃，柄长，是商代军队常用的武器
商青铜矛,商,青铜兵器，矛头锋利，有柄，用于刺杀，是商代重要的兵器之一
商青铜钺,商,青铜兵器或礼器，形体较大，刃宽，象征权力，用于行刑或祭祀
商青铜刀,商,青铜工具或兵器，刀刃锋利，有柄，用于切割或格斗
商玉戈,商,玉器，造型模仿青铜戈，用于礼仪活动，玉质优良，工艺精美
商玉刀,商,玉器，刀刃锋利，用于礼仪活动或切割，玉质温润，纹饰细腻
商象牙杯,商,用象牙制成的酒器，有盖，纹饰精美，是商代贵族使用的高档器具
商象牙梳,商,用象牙制成的梳理工具，梳齿整齐，有纹饰，是商代贵族的生活用品
商青铜编钟（小）,商,青铜乐器，多件一组，大小不同，能发出不同音调，用于祭祀或宴会
商青铜铙,商,青铜乐器，形体较大，口朝上，用于祭祀或宴会，能发出洪亮的声音
商陶埙,商,陶制吹奏乐器，球形或椭圆形，有孔，能发出低沉的音调，是商代常见的乐器
商陶纺轮,商,陶制工具，用于纺纱，圆形，中间有孔，是商代纺织业的重要工具
商石斧,商,石制工具，用于砍伐或加工木材，刃部锋利，是商代早期的常用工具
商石铲,商,石制工具，用于耕地或铲土，刃部宽大，是商代农业生产的重要工具
商石镰,商,石制工具，用于收割庄稼，刃部有锯齿，是商代农业生产的常用工具
商骨铲,商,用兽骨制成的工具，用于铲土或加工，是商代早期的工具之一
商骨刀,商,用兽骨制成的工具，用于切割，是商代早期的常用工具
商青铜凿,商,青铜工具，用于开凿木材或石材，刃部锋利，是商代手工业的重要工具
商青铜锥,商,青铜工具，用于钻孔或穿刺，尖端锋利，是商代手工业的常用工具
商青铜锯,商,青铜工具，用于锯断木材或金属，锯齿锋利，是商代手工业的重要工具
商玉玦,商,圆形玉器，有缺口，用于佩戴，是商代常见的玉饰
商玉环,商,圆形玉器，中间有孔，用于佩戴，玉质优良，纹饰简洁
商玉管,商,圆柱形玉器，中间有孔，用于串饰，玉质温润，工艺精湛
商陶瓮,商,陶制容器，用于储存粮食或水，形体较大，纹饰简单
商陶罐,商,陶制容器，用于储存物品，形体较小，纹饰多样
商陶盆,商,陶制容器，用于洗漱或盛放物品，口大底小，纹饰简单
商青铜盘,商,青铜礼器或水器，用于承接水，纹饰精美，是商代贵族使用的器具
商青铜匜,商,青铜水器，用于浇水洗手，有流，纹饰精美，与青铜盘配套使用
商青铜壶,商,青铜酒器或水器，用于储存酒或水，形体较大，纹饰丰富
商青铜卣,商,青铜酒器，用于储存酒，有盖，造型独特，纹饰精美
商青铜罍,商,青铜酒器或水器，形体较大，有盖，纹饰繁复，是商代重要的礼器
毛公鼎,西周,青铜礼器，内壁铸有499字铭文，是迄今铭文最长的青铜鼎，记录周王对毛公的册命
大盂鼎,西周,青铜礼器，铭文记载周康王对盂的册命，造型雄浑，纹饰以饕餮纹为主
大克鼎,西周,青铜礼器，铭文记载克的功绩，器形端庄，纹饰简洁流畅，与大盂鼎并称“重器鸿宝”
虢季子白盘,西周,青铜水器，盘内铭文111字，讲述虢季子白战功，是商周金文范本
利簋,西周,青铜食器，铭文记载牧野之战，是最早的西周青铜礼器，被誉为“武王征商簋”
何尊,西周,青铜酒器，内壁铸有“中国”二字，是最早出现“中国”的文物，造型独特
墙盘,西周,青铜礼器，腹底铭文284字，颂扬周王政绩与微氏家族史，是研究西周历史的重要史料
卫盉,西周,青铜酒器，盖内铭文132字，记载土地交易与礼器交换，反映西周社会经济
（亻朕）匜,西周,青铜水器，腹底和盖铭文157字，记述诉讼过程，被誉为“青铜法典”
克盉,西周,青铜酒器，出土于北京房山琉璃河遗址，铭文记录燕国分封史实
克罍,西周,青铜酒器，与克盉同出，铭文相互印证燕国分封历史，是燕文化重要文物
虢仲铜盨,西周,青铜食器，出土于虢国国君墓，器身铸有龙纹、窃曲纹，铭文记录器主信息
邓公铜簋,西周,青铜礼器，为邓国国君女儿的媵器，器身饰瓦沟纹和窃曲纹，有明确铭文
西周青铜编钟,西周,青铜乐器，多件成组，音律和谐，用于祭祀或宴乐，体现西周音乐水平
西周玉璋,西周,玉质礼器，用于祭祀山川，形制规范，玉质温润，工艺精湛
西周青铜戈,西周,青铜兵器，是军队主要作战兵器，造型实用，纹饰简单
西周青铜剑,西周,青铜兵器，剑身较短，是早期青铜剑的代表，用于近战格斗
西周玉璧,西周,玉质礼器，用于祭祀或陪葬，纹饰以云纹为主，玉质优良
